Iteration;Id;X;Y;Value
0;0;3.000000;3.000000;-1000.000000
0;1;6.000000;3.000000;-1000.000000
0;2;5.000000;4.000000;-1000.000000
0;3;0.000000;4.000000;2.050000
0;4;3.000000;1.000000;-1000.000000
0;5;5.000000;4.000000;-1000.000000
0;6;5.000000;5.000000;-1000.000000
0;7;6.000000;0.000000;25.200000
0;8;2.000000;1.000000;-1000.000000
0;9;3.000000;2.000000;-1000.000000
1;0;3.000000;3.000000;-1000.000000
1;1;6.000000;3.000000;-1000.000000
1;2;5.000000;4.000000;-1000.000000
1;3;0.000000;4.000000;2.050000
1;4;3.000000;1.000000;-1000.000000
1;5;5.000000;4.000000;-1000.000000
1;6;5.000000;5.000000;-1000.000000
1;7;6.000000;0.000000;25.200000
1;8;2.000000;1.000000;-1000.000000
1;9;3.000000;2.000000;-1000.000000
2;0;3.000000;3.000000;-1000.000000
2;1;6.000000;3.000000;-1000.000000
2;2;5.000000;4.000000;-1000.000000
2;3;0.000000;4.000000;2.050000
2;4;3.000000;1.000000;-1000.000000
2;5;5.000000;4.000000;-1000.000000
2;6;5.000000;5.000000;-1000.000000
2;7;6.000000;0.000000;25.200000
2;8;2.000000;1.000000;-1000.000000
2;9;3.000000;2.000000;-1000.000000
3;0;3.000000;3.000000;-1000.000000
3;1;6.000000;3.000000;-1000.000000
3;2;5.000000;4.000000;-1000.000000
3;3;0.000000;4.000000;2.050000
3;4;3.000000;1.000000;-1000.000000
3;5;5.000000;4.000000;-1000.000000
3;6;5.000000;5.000000;-1000.000000
3;7;6.000000;0.000000;25.200000
3;8;2.000000;1.000000;-1000.000000
3;9;3.000000;2.000000;-1000.000000
4;0;3.000000;3.000000;-1000.000000
4;1;6.000000;3.000000;-1000.000000
4;2;5.000000;4.000000;-1000.000000
4;3;0.000000;4.000000;2.050000
4;4;3.000000;1.000000;-1000.000000
4;5;5.000000;4.000000;-1000.000000
4;6;5.000000;5.000000;-1000.000000
4;7;6.000000;0.000000;25.200000
4;8;2.000000;1.000000;-1000.000000
4;9;3.000000;2.000000;-1000.000000
